# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	6	26	2	T	6.8698458e-02	1.2360171e+02	1.5669885e+02	-1.0000004e-02
0	0	6	26	2	E	5.5357680e-02	1.3267021e+02	1.6179024e+02	-1.0000004e-02
0	0	6	26	3	T	6.9333605e-02	1.2475829e+02	1.5690526e+02	-1.0000008e-02
0	0	6	26	3	E	5.5388197e-02	1.3377165e+02	1.6125227e+02	-1.0000838e-02
0	0	6	27	0	T	7.0214801e-02	1.3806555e+02	1.7081311e+02	-1.0000003e-02
0	0	6	27	0	E	5.3145155e-02	1.3024173e+02	1.6194911e+02	-1.0000008e-02
0	0	6	27	1	T	7.1052127e-02	1.2881314e+02	1.7022484e+02	-1.0000004e-02
0	0	6	27	1	E	5.4892287e-02	1.3170869e+02	1.6210686e+02	-1.0000434e-02
0	0	6	27	2	T	4.1194491e-02	1.2349863e+02	1.7064062e+02	-1.0000003e-02
0	0	6	27	2	E	6.1201796e-02	1.3189145e+02	1.6155115e+02	-1.0000464e-02
0	0	6	27	3	T	4.9541049e-02	1.2536167e+02	1.6940309e+02	-1.0000001e-02
0	0	6	27	3	E	5.4083571e-02	1.3240256e+02	1.6176448e+02	-1.0000790e-02
0	0	6	28	0	T	6.2570147e-02	1.3454865e+02	1.6201039e+02	-1.0000006e-02
0	0	6	28	0	E	6.1102614e-02	1.2509518e+02	1.5743066e+02	-1.0000002e-02
0	0	6	28	1	T	7.8031115e-02	1.2570008e+02	1.6117384e+02	-1.0000020e-02
0	0	6	28	1	E	5.6563124e-02	1.2413850e+02	1.5696799e+02	-1.0000263e-02
0	0	6	28	2	T	7.9145007e-02	1.2803287e+02	1.6144623e+02	-9.9999998e-03
0	0	6	28	2	E	5.8783278e-02	1.2433802e+02	1.5751277e+02	-1.0000001e-02
0	0	6	28	3	T	7.8164630e-02	1.2671914e+02	1.6091327e+02	-1.0000001e-02
0	0	6	28	3	E	5.8920607e-02	1.2323388e+02	1.5673524e+02	-1.0000001e-02
0	0	6	29	0	T	7.7201419e-02	1.3180927e+02	1.5446951e+02	-1.0000095e-02
0	0	6	29	0	E	4.1838393e-02	1.3018353e+02	1.7104951e+02	-9.9999998e-03
0	0	6	29	1	T	7.8481250e-02	1.2264123e+02	1.5376106e+02	-9.9999998e-03
0	0	6	29	1	E	5.3984389e-02	1.3469197e+02	1.6985558e+02	-1.0000007e-02
0	0	6	29	2	T	7.0178561e-02	1.2227030e+02	1.5351180e+02	-1.0000518e-02
0	0	6	29	2	E	4.1670546e-02	1.3225743e+02	1.6944876e+02	-1.0001776e-02
0	0	6	29	3	T	7.5225405e-02	1.2055062e+02	1.5456157e+02	-1.0000001e-02
0	0	6	29	3	E	6.0759291e-02	1.3638109e+02	1.6939818e+02	-1.0000003e-02
0	0	6	30	0	T	7.5351290e-02	1.3489140e+02	1.6056892e+02	-9.9999998e-03
