#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	7	3	46.177	60.9375	59.1717
0	0	7	4	50.2644	60.95	59.1108
0	0	7	5	48.2406	60.9482	58.992
0	0	7	6	52.8953	60.4215	61.009
0	0	7	7	51.6973	60.1968	61.0148
0	0	7	8	55.1255	60.1945	60.0583
0	0	7	9	52.3846	60.3316	61.138
0	0	7	10	52.8254	60.9489	61.3078
0	0	7	11	48.8742	60.8994	60.1644
0	0	7	12	55.6259	60.934	58.95
0	0	7	13	51.2038	60.2498	61.1642
0	0	7	14	53.1299	60.9497	59.3217
0	0	7	15	47.614	60.5119	60.2241
0	0	7	16	52.3655	60.8929	61.2564
0	0	7	17	50.9073	60.4875	59.1123
0	0	7	18	55.9753	60.9492	58.9908
0	0	7	19	47.0387	60.5104	60.1737
0	0	7	20	47.8908	60.9497	58.9384
0	0	7	21	51.7228	60.9492	59.1785
0	0	7	22	53.5215	60.4586	60.123
0	0	7	23	54.3915	60.4553	60.1894
0	0	7	24	53.0425	60.2954	61.1881
0	0	7	25	55.0447	60.9014	60.9033
0	0	7	26	50.8977	60.9442	60.3164
0	0	7	27	54.8988	60.2789	59.1723
0	0	7	28	48.4223	60.9476	60.286
0	0	7	29	50.0571	60.4384	60.3188
0	0	7	30	48.5991	60.9412	58.9514
0	0	7	31	50.5404	60.431	60.1733
0	0	7	32	52.8939	60.9005	58.9629
0	0	7	33	47.889	61.1056	60.9827
0	0	7	34	50.3696	60.9426	61.1915
0	0	7	35	49.5383	60.1957	61.0689
0	0	7	36	53.3675	60.0275	58.9077
0	0	7	37	48.2322	60.2795	60.0492
0	0	7	38	49.9573	60.4476	58.3416
0	0	7	39	53.2913	60.4045	59.0546
0	0	7	40	51.9522	60.2708	61.0104
0	0	7	41	48.8994	60.4353	59.1763
0	0	7	42	54.2791	61.0817	59.2174
0	0	7	43	51.9076	60.9365	59.4223
0	0	7	44	51.8197	60.4211	60.9937
0	0	7	45	47.9372	60.9441	58.9307
0	0	7	46	51.1955	60.9435	59.001
0	0	7	47	49.0392	60.4656	59.1678
0	0	7	48	51.2102	60.9453	59.0105
0	0	7	49	49.0686	60.95	59.3583
0	0	7	50	53.5084	60.9498	61.0527
0	0	7	51	51.1057	60.3868	61.2013
0	0	7	52	48.6468	60.5287	59.1824
