# portID	slaveID	chipID	channelID	baseline_T	baseline_E	zero_T1	zero_T2	zero_E	noise_T1	noise_T2	noise_E
0	0	6	15	50	5	49.79967432091671	60.66010694856367	58.57795102992974	0.49580428276710253	0.2148193380914239	0.1825626308088954
0	0	6	16	46	7	48.72228530324513	61.41785984053379	61.212672003846116	0.5065823930758541	0.050000006666976876	0.050000019660742384
0	0	6	17	52	6	47.566410795392365	61.00000000006268	61.00017604804026	0.5016940973612916	0.29536951815512513	0.05792934309840041
0	0	6	18	46	5	49.475588882778716	61.37658190549384	58.428195997992894	0.52698446336197	0.0757017006021726	0.10226189267523919
0	0	6	19	47	6	47.43063771747123	61.17087087185104	61.244892084962956	0.11551418668021061	0.22269006555921855	0.05000112497483035
0	0	6	20	49	6	49.26606560535499	61.36738090456848	61.09976588270871	0.41789460592891636	0.09136983291850186	0.05007131288764148
0	0	6	21	47	6	45.17664884336905	61.41891549754118	61.24092570495814	0.41887057378432935	0.05001557820623388	0.05036001113009784
0	0	6	22	46	6	51.57301791601971	61.35997573831346	61.09474849750788	0.40781523529838826	0.08475417321954178	0.077101561077224
0	0	6	23	51	5	50.44122706534358	60.71073100156648	58.26686610340829	0.05000099124201288	0.22849666677728492	0.050380960656941545
0	0	6	24	49	6	49.1094305940699	61.39150122268567	61.20128236428972	0.47317839607908135	0.06556087965270505	0.059452141428475457
0	0	6	25	48	5	49.54201726974749	61.00000000006546	60.10614911582798	0.5142307811076624	0.2869466353291365	0.05000155091697829
0	0	6	26	48	5	50.94208175924023	61.35811141497069	59.033171372734834	0.43945408758959653	0.0846952142284795	0.05497624477452571
0	0	6	27	53	6	48.895653342996816	61.413662637161096	61.23933133702501	0.4159723362135656	0.05164904738668868	0.050873171062796374
0	0	6	28	47	6	47.512953378140125	61.32265809313424	60.241721783013844	0.40295916932363796	0.12164323296694204	0.05059518919897789
0	0	6	29	49	6	53.79064289896141	60.42199459764968	61.222112996305185	0.4235070947722776	0.1779327892299714	0.0522614483431423
0	0	6	30	46	6	53.58190708739663	61.41499672998824	61.2291462371048	0.4173876964523409	0.05011417628984773	0.05389293353640276
0	0	6	31	47	5	52.17700188601441	61.31242192540158	59.10523375367474	0.41480921311235736	0.11196454890801134	0.05062965408491843
0	0	6	32	50	6	48.79612825028777	61.075860667463395	60.312597841771506	0.40781779616701885	0.2661242287612884	0.1237649766117195
0	0	6	33	49	5	49.38737036567956	61.41939985427735	59.109392648379206	0.42905158577713554	0.050022691640821834	0.05524875381074098
0	0	6	34	48	7	51.42611764937486	61.36930791420758	61.03599544160474	0.4070074934161045	0.07462663765490027	0.052408273708565774
0	0	6	35	47	5	48.910442584979414	61.41459985386095	59.25046311347608	0.4160115353901351	0.051204370755566456	0.05007235784582947
0	0	6	36	52	6	53.36104372650149	60.43875246432131	61.113659127649	0.42714896713574996	0.17705786436651183	0.054424280477151143
0	0	6	37	49	5	52.29066927660005	60.47972019514528	59.0	0.4374767455116467	0.18666833804674543	0.057848311526282135
0	0	6	38	48	5	51.633630509103064	61.383099704494434	58.23249582647319	0.41492278341375705	0.07075895234294681	0.05000000000073203
0	0	6	39	46	5	50.262965988320516	61.150770205679336	59.11459499743847	0.43976440115384086	0.25425237392721006	0.05240250673810076
0	0	6	40	51	6	47.07831744152998	61.30248882844448	61.24717508762343	0.45030407979795944	0.1228217032136436	0.050490793904106795
0	0	6	41	48	7	49.64321822969883	60.65750573055237	61.23136688769967	0.4381669498014994	0.225669704153451	0.05240218120634629
0	0	6	42	50	6	54.43621313523573	60.43476350478489	61.07266732459292	0.1612145973424735	0.18309593424928833	0.05037858877301968
0	0	6	43	47	6	50.853094797568495	61.41862428595738	61.0	0.40704935102307405	0.05000576272064485	0.05089539814583763
0	0	6	44	52	6	56.571369707568564	60.382830991471586	61.0	0.40994785158378	0.1230666169734599	0.05512028495754891
0	0	6	45	48	5	52.40754638276825	60.44439252367244	58.17685281223669	0.44270869823609216	0.1354730771242094	0.06150146090798286
0	0	6	46	45	5	47.14474348924529	61.41038438179273	59.20970191265621	0.4011073577255717	0.05854990894687185	0.05111593736075046
0	0	6	47	49	5	52.57098415204547	60.3586385711378	59.239913799281744	0.4542570429303973	0.15586115584764978	0.05000243756482558
