# portID	slaveID	chipID	channelID	tacID	branch	t0	a0	a1	a2
0	0	4	12	0	E	3.8822882e-02	1.1865283e+02	1.5552086e+02	-1.0000001e-02
0	0	4	12	1	T	4.7758758e-02	1.1665245e+02	1.6270360e+02	-1.0000001e-02
0	0	4	12	1	E	3.7991278e-02	1.1960572e+02	1.5471710e+02	-9.9999998e-03
0	0	4	12	2	T	4.6715438e-02	1.1873337e+02	1.6166440e+02	-1.0000016e-02
0	0	4	12	2	E	3.4405462e-02	1.1683551e+02	1.5498982e+02	-1.0000003e-02
0	0	4	12	3	T	5.5710495e-02	1.1651052e+02	1.6535402e+02	-1.6424041e+00
0	0	4	12	3	E	3.8441412e-02	1.1813815e+02	1.5510730e+02	-9.6289441e-02
0	0	4	13	0	T	5.6385696e-02	1.3901018e+02	1.6914093e+02	-1.0000014e-02
0	0	4	13	0	E	2.8889410e-02	1.1822987e+02	1.6335405e+02	-9.9999998e-03
0	0	4	13	1	T	5.5479705e-02	1.2770792e+02	1.6960205e+02	-1.0000001e-02
0	0	4	13	1	E	3.8441412e-02	1.2021898e+02	1.6338666e+02	-1.0000003e-02
0	0	4	13	2	T	4.4701278e-02	1.2763761e+02	1.6894873e+02	-9.9999998e-03
0	0	4	13	2	E	3.8479559e-02	1.2060567e+02	1.6398206e+02	-1.0000001e-02
0	0	4	13	3	T	5.6484878e-02	1.2894580e+02	1.6919601e+02	-9.9999998e-03
0	0	4	13	3	E	3.7525885e-02	1.2007946e+02	1.6387865e+02	-9.9999998e-03
0	0	4	14	0	T	6.1934173e-02	1.3655899e+02	1.5786801e+02	-1.0000001e-02
0	0	4	14	0	E	3.0026190e-02	1.2190183e+02	1.6247713e+02	-1.0000011e-02
0	0	4	14	1	T	6.7511261e-02	1.2951067e+02	1.5708276e+02	-1.0000001e-02
0	0	4	14	1	E	3.5938971e-02	1.2093824e+02	1.6188983e+02	-1.0000001e-02
0	0	4	14	2	T	5.8233917e-02	1.2518877e+02	1.5756813e+02	-1.0000001e-02
0	0	4	14	2	E	4.3850653e-02	1.2071455e+02	1.6265262e+02	-1.0000010e-02
0	0	4	14	3	T	6.7637146e-02	1.2540407e+02	1.5778291e+02	-9.9999998e-03
0	0	4	14	3	E	3.4451239e-02	1.1985431e+02	1.6204460e+02	-9.9999998e-03
0	0	4	15	0	T	4.9879730e-02	1.2466930e+02	1.5637511e+02	-9.9999998e-03
0	0	4	15	0	E	2.6745550e-02	1.1918741e+02	1.6117105e+02	-9.9999998e-03
0	0	4	15	1	T	4.9704254e-02	1.1646215e+02	1.5466132e+02	-9.9999998e-03
0	0	4	15	1	E	7.5652525e-03	1.1701219e+02	1.6016090e+02	-1.0000009e-02
0	0	4	15	2	T	4.9341857e-02	1.1519997e+02	1.5446761e+02	-9.9999998e-03
0	0	4	15	2	E	3.8014166e-02	1.2182552e+02	1.6072444e+02	-1.0000002e-02
0	0	4	15	3	T	4.9725235e-02	1.1478652e+02	1.5593201e+02	-9.9999998e-03
0	0	4	15	3	E	3.1544439e-02	1.2186504e+02	1.6125356e+02	-5.3650463e-01
0	0	4	16	0	T	6.8201721e-02	1.2392497e+02	1.6264052e+02	-1.0000005e-02
0	0	4	16	0	E	4.4140570e-02	1.2844926e+02	1.6726744e+02	-1.0000030e-02
0	0	4	16	1	T	6.8579376e-02	1.1689030e+02	1.6206996e+02	-9.9999998e-03
0	0	4	16	1	E	3.6160223e-02	1.2738709e+02	1.6777728e+02	-1.0000017e-02
0	0	4	16	2	T	6.8304718e-02	1.1707456e+02	1.6168001e+02	-1.0000001e-02
0	0	4	16	2	E	4.3156378e-02	1.2839336e+02	1.6722025e+02	-1.0000002e-02
0	0	4	16	3	T	6.8543136e-02	1.1663615e+02	1.6203584e+02	-1.0000003e-02
0	0	4	16	3	E	4.4270270e-02	1.2805272e+02	1.6745251e+02	-9.9999998e-03
0	0	4	17	0	T	6.8028152e-02	1.3092880e+02	1.6333395e+02	-1.0000003e-02
0	0	4	17	0	E	3.4466498e-02	1.2381113e+02	1.6252586e+02	-1.0000031e-02
0	0	4	17	1	T	6.3904464e-02	1.2123157e+02	1.6273685e+02	-9.9999998e-03
